"ID","Marker","BioSample.Accession","Mitogenome.accession","Mitochondrial.clade","Sex.qPCR","Age","Region","Location","Lat","Lon","Year","Month","Day","Membership.rad.all","Membership.wgs.all","Q1.rad.all","Q2.rad.all","Q3.rad.all","Q4.rad.all","Q5.rad.all","Q1.wgs.all","Q2.wgs.all","Q3.wgs.all","Q4.wgs.all","Q5.wgs.all","Q6.wgs.all","Q1.rad.hbsc","Q2.rad.hbsc","Q3.rad.hbsc","Q1.wgs.hbsc","Q2.wgs.hbsc","Q1.rad.jam","Q2.rad.jam","Q1.wgs.jam","Q2.wgs.jam","O.Hom.rad","E.Hom.rad","F.rad","O.Hom.wgs","E.Hom.wgs","F.wgs"
"S_20_00778","Both","SAMN36656247","MW316169    ",NA,"M",38,"CS","Pangnirtung_Imilit",NA,NA,2002,7,6,"CS","CS",0.003677,0.177993,0.721642,0.01124,0.085447,0.068698,0.000126,0.005428,0.708385,0.093924,0.123439,NA,NA,NA,NA,NA,NA,NA,NA,NA,19424,19349,0.01178,636189,625811.6,0.056
"S_20_00781","Both","SAMN36656250","OQ553998","Clade D","F",13,"CS","Pangnirtung",NA,NA,2007,7,4,"CS","CS",0.009698,0.105667,0.820153,0.00001,0.064472,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,19384,18975,0.06584,634351,625042.4,0.05031
"S_20_00782","Both","SAMN36656251","OQ553999","Clade D","M",NA,"CS","Pangnirtung",66.1466,-65.7012,2005,NA,NA,"HBSC","HBSC",0.071324,0.323175,0.596185,0.00001,0.009307,0.510814,0.030253,0.008132,0.135774,0.254316,0.060712,0.602005,0.058797,0.339197,0.622003,0.377997,NA,NA,NA,NA,17122,15476,0.33701,629885,618259.5,0.06351
"S_20_00784","Both","SAMN36656252","OQ554000","Clade C","M",29,"CS","Pangnirtung_Kangilo_Fjord",NA,NA,2007,7,4,"CS","CS",0.00001,0.00001,0.978141,0.00001,0.021829,0.052061,0.00001,0.008696,0.675487,0.137922,0.125825,NA,NA,NA,NA,NA,NA,NA,NA,NA,19301,18498.6,0.13357,637883,639413.4,-0.0081
"S_20_00785","lcWGS","SAMN36656253","OQ554001","Clade D","F",NA,"CS","Pangnirtung",NA,NA,2006,7,18,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631497,620756.5,0.05841
"S_20_01255","lcWGS","SAMN36656488","OQ554053","Clade D","M",NA,"CS","Pangnirtung_Imilit",65.890667,-67.195387,2009,7,4,NA,"HBSC",NA,NA,NA,NA,NA,0.604222,0.011663,0.010215,0.091304,0.249925,0.032672,NA,NA,NA,0.550249,0.449751,NA,NA,NA,NA,NA,NA,NA,639712,641743.9,-0.01073
"S_20_01270","lcWGS","SAMN36656493","OQ554058","Clade C","M",25,"CS","Pangnirtung_Imilit",NA,NA,1997,7,13,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.869626,0.00001,0.130334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635379,631488.5,0.02082
"S_20_01273","lcWGS","SAMN36656494","OQ554059","Clade D","M",24,"CS",NA,NA,NA,1997,7,15,NA,"CS",NA,NA,NA,NA,NA,0.009739,0.000024,0.00001,0.809296,0.087396,0.093535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644075,639118,0.02625
"S_20_01327","lcWGS","SAMN36656507","OQ554072","Clade D","M",21,"CS",NA,NA,NA,1997,7,8,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635103,640431.2,-0.02815
"S_20_01329","lcWGS","SAMN36656508","OQ554073","Clade D","F",13,"CS",NA,NA,NA,2001,7,9,NA,"CS",NA,NA,NA,NA,NA,0.081409,0.006034,0.00001,0.767327,0.088021,0.057199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630971,623002.8,0.04319
"S_20_01335","lcWGS","SAMN36656510","OQ554075","Clade D","F",6,"CS","Aupaluktok_Island",NA,NA,2000,7,10,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.018659,0.78263,0.057234,0.141458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635207,642132.2,-0.03651
"S_20_01409","lcWGS","SAMN36656531","OQ554096","Clade D","M",19,"CS",NA,NA,NA,1997,7,5,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639212,632571.1,0.0355
"S_20_01418","Both","SAMN36656536","OQ554101","Clade D","F",23,"CS","Pangnirtung_Cumberland_Sound",NA,NA,2002,7,22,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.063851,0.00001,0.023863,0.746111,0.073972,0.092193,NA,NA,NA,NA,NA,NA,NA,NA,NA,19459,19206.7,0.03968,639925,635602,0.023
"S_20_01430","lcWGS","SAMN36656539","OQ554104","Clade D","M",33,"CS","Pangnirtung_Cumberland_Sound",NA,NA,1997,7,9,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637949,636572.9,0.00732
