"ID_GQ","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","K","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo"
"S_20_00776",0.769767,0.230233,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_02_1037","CSB","Pangnirtung_Ilugajut",2002,7,NA,"Pangnirtung","HL003"
"S_20_00777",0.747431,0.252569,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_02_1198","CSB","Pangnirtung",2002,7,22,"Pangnirtung","HL022"
"S_20_00778",0.807812,0.192188,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_02_1077","CSB","Pangnirtung_Imilit",2002,7,6,"Pangnirtung","HL040"
"S_20_00779",0.81427,0.18573,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_02_01","SWH","Nelson_River",2002,7,13,"Churchill","HL012"
"S_20_00780",0.804375,0.195625,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARCH_01_1111","NWH","Coral Harbour_Ruin Point",2001,9,3,"Coral Harbour","HL020"
"S_20_00781",0.758018,0.241982,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_07_1317","CSB","Pangnirtung",2007,7,4,"Pangnirtung","HL003"
"S_20_00782",0.660475,0.339525,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_05_1230","CSB","Pangnirtung",2005,NA,NA,"Pangnirtung","HL003"
"S_20_00784",0.744793,0.255207,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARPG_07_1328","CSB","Pangnirtung_Kangilo_Fjord",2007,7,4,"Pangnirtung","HL024"
"S_20_00788",0.804622,0.195378,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_04_01","SWH","Nelson_River",2004,7,24,"Churchill","HL042"
"S_20_00789",0.825194,0.174806,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1063","NWH","Arviat",2003,8,NA,"Arviat","HL003"
"S_20_00790",0.798211,0.201789,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1064","NWH","Arviat",2003,8,27,"Arviat","HL043"
"S_20_00791",0.787105,0.212895,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1065","NWH","Arviat",2003,8,6,"Arviat","HL044"
"S_20_00792",0.820221,0.179779,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1066","NWH","Arviat",2003,8,10,"Arviat","HL006"
"S_20_00793",0.816285,0.183715,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1067","NWH","Arviat",2003,8,4,"Arviat","HL003"
"S_20_00794",0.836301,0.163699,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1068","NWH","Arviat",2003,8,14,"Arviat","HL003"
"S_20_00795",0.823689,0.176311,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1069","NWH","Arviat",2003,8,17,"Arviat","HL045"
"S_20_00797",0.84274,0.15726,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1044","NWH","Arviat",2003,8,17,"Arviat","HL046"
"S_20_00798",0.793846,0.206154,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1047","NWH","Arviat",2003,8,17,"Arviat","HL001"
"S_20_00799",0.806641,0.193359,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1048","NWH","Arviat",2003,8,17,"Arviat","HL047"
"S_20_00800",0.799526,0.200474,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1050","NWH","Arviat",2003,8,15,"Arviat","HL003"
"S_20_00801",0.751216,0.248784,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1052","NWH","Arviat",2003,8,NA,"Arviat","HL003"
"S_20_00802",0.768736,0.231264,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1053","NWH","Arviat",2003,8,14,"Arviat","HL003"
"S_20_00803",0.802404,0.197596,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1054","NWH","Arviat",2003,8,14,"Arviat","HL044"
"S_20_00804",0.824416,0.175584,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1055","NWH","Arviat",2003,8,14,"Arviat","HL004"
"S_20_00805",0.763616,0.236384,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1057","NWH","Arviat",2003,8,9,"Arviat","HL001"
"S_20_00806",0.750122,0.249878,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ02_4146","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001"
"S_20_00807",0.817244,0.182756,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ02_4147","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001"
"S_20_00808",0.798985,0.201015,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ02_4148","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001"
"S_20_00809",0.806463,0.193537,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ02_4149","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001"
"S_20_00810",0.768415,0.231585,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ02_4150","JAM","Bear_Island_Baie_James",2002,9,7,"Inukjuak","HL001"
"S_20_00811",0.810517,0.189483,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARCH_02_01","NWH","Churchill",2002,NA,NA,"Churchill","HL026"
"S_20_00812",0.798263,0.201737,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_04_04","SWH","Nelson_River",2004,7,26,"Churchill","HL003"
