SampleID,ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Region,Harvest Region,Season
S_20_02539,242.SHS.2004.BELUGA.ADN_20_04340.S_20_02539.dl.n_s.bam,-0.0109072,-0.027896,0.0193441,0.0054498,-0.0252251,0.0477908,-0.0139105,-0.0260307,0.0329749,0.0585419,-0.0110346,-0.0403649,-0.0380115,0.0258083,0.0125707,0.0100547,0.0257863,0.00462427,-0.00729164,-0.0057417,South Hudson Strait,SHS,Summer
S_20_02925,275.SHS.2018.BELUGA.ADN_20_03885.S_20_02925.dl.n_s.bam,-0.0133038,-0.0195272,0.0365171,0.000878341,-0.0236983,-0.0142579,-0.000791329,0.0241406,-0.0228514,-0.0626956,0.00987784,0.0180398,0.026476,0.032816,0.0249023,-0.0152565,0.0452227,0.0132578,0.0039404,-0.00696537,South Hudson Strait,SHS,Summer
S_20_02927,264.SHS.2018.BELUGA.ADN_20_03983.S_20_02927.dl.n_s.bam,-0.00466645,-0.0222059,0.029404,-0.0146222,-0.0130282,0.0157395,-0.0227141,-0.0622621,-0.0173535,0.063348,-0.018603,-0.0164693,-0.0144194,0.00656195,-0.0137146,-0.00922127,0.0188564,0.00799077,0.00323031,0.00716632,South Hudson Strait,SHS,Summer
S_20_02952,256.SHS.2018.BELUGA.ADN_20_04008.S_20_02952.dl.n_s.bam,-0.00979535,-0.0269064,0.0334443,-0.00930138,-0.0153259,0.0238029,0.00224581,-0.0205561,-0.00161895,0.0223965,0.00194483,0.0027207,-0.0158136,-0.013619,-0.0138102,-0.0125262,0.0156416,0.00285428,-0.00104191,0.0124216,South Hudson Strait,SHS,Summer
S_20_03438,253.SHS.1995.BELUGA.ADN_20_05083.S_20_03438.dl.n_s.bam,-0.0155624,-0.0227835,0.00536803,0.0118237,-0.0237865,0.00488943,0.0127745,0.0572046,0.0541834,-0.0661078,-0.0138958,-0.0548056,0.00869184,0.00296745,0.114517,0.138393,-0.0477705,-0.00883127,0.0292855,-0.0011452,South Hudson Strait,SHS,Summer
S_20_03439,285.SHS.1995.BELUGA.ADN_20_05084.S_20_03439.dl.n_s.bam,-0.0126078,-0.0242199,0.00924323,0.0158791,-0.0221546,0.026646,0.00958839,0.0140281,0.0374511,-0.0140551,-0.0281276,-0.037854,-0.0196515,0.0102946,0.05381,0.0443167,-0.030268,0.0217892,-0.021405,0.00369534,South Hudson Strait,SHS,Summer
S_20_03440,252.SHS.1995.BELUGA.ADN_20_05085.S_20_03440.dl.n_s.bam,-0.0110986,-0.0244768,0.00066922,0.00745669,-0.0234817,0.0252556,0.00816763,0.0446751,0.0373086,-0.021397,-0.00326763,-0.0543568,-0.0115589,0.0258348,0.133528,0.149665,-0.0585112,0.00500313,0.0491203,0.0325229,South Hudson Strait,SHS,Summer
S_20_01160,257.SHS.2019.BELUGA.ADN_20_04609.S_20_01160.dl.n_s.bam,-0.0153638,-0.0263479,0.0129267,0.00491136,-0.0204342,0.0177002,0.0269588,0.0696886,0.0443143,-0.0526041,-0.00320969,-0.0152284,-0.00957811,0.0179246,0.0377447,0.0502567,-0.0300851,0.0272385,-0.00719706,0.0142531,South Hudson Strait,SHS,Fall
S_20_01162,258.SHS.2019.BELUGA.ADN_20_04558.S_20_01162.dl.n_s.bam,-0.0167281,0.0119899,0.0143516,-0.00323283,-0.0077269,0.00626854,0.00974087,0.0381941,0.0265357,-0.0550712,0.010853,0.0019873,-0.00814543,-0.00957919,0.0155225,0.00741749,-0.0203436,0.0494213,-0.00758629,-0.0118258,South Hudson Strait,SHS,Fall
S_20_01165,259.SHS.2019.BELUGA.ADN_20_04604.S_20_01165.dl.n_s.bam,-0.0101841,-0.0228053,0.0131224,0.00360751,-0.00369758,0.00894154,0.0111743,0.0568979,0.0218962,-0.0671964,-0.00135887,-0.0119882,0.0296774,0.0159971,0.0127302,0.0118643,0.0443905,0.0256114,-0.0871157,-0.0132573,South Hudson Strait,SHS,Fall
